Season,Id,Date,Time,League,Home,Away,Round_number,FT_Goals_H,FT_Goals_A,FT_Odd_ML_Bookie,FT_Odd_ML_H,FT_Odd_ML_D,FT_Odd_ML_A,HT_Odd_OU_05_Bookie,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_OU_05_Bookie,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_OU_15_Bookie,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_OU_25_Bookie,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_OU_35_Bookie,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_OU_45_Bookie,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Bookie,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
2024,CjCo3Aag,27/07/2024,18:00,BRASIL - SÉRIE B,Sport,Ponte Preta,RODADA 18,3,1,bet365,1.5,3.75,8.0,bet365,1.44,2.63,bet365,1.06,10.0,bet365,1.3,3.4,bet365,2.05,1.75,bet365,3.5,1.29,bet365,7.0,1.1,bet365,2.2,1.62
2024,0GIWuSCe,27/07/2024,19:00,BRASIL - BRASILEIRÃO BETANO,Juventude,Criciúma,RODADA 20,1,2,bet365,2.3,3.1,3.4,bet365,1.5,2.5,bet365,1.1,7.0,bet365,1.44,2.75,bet365,2.35,1.57,bet365,4.5,1.2,bet365,10.0,1.06,bet365,2.0,1.75
2024,8IwhmAKL,27/07/2024,19:00,BRASIL - BRASILEIRÃO BETANO,Palmeiras,Vitória,RODADA 20,0,2,bet365,1.48,4.75,6.5,bet365,1.36,3.0,bet365,1.05,11.0,bet365,1.29,3.75,bet365,1.91,1.99,bet365,3.4,1.33,bet365,6.0,1.13,bet365,2.0,1.75
2024,ITpujCz3,27/07/2024,20:00,BRASIL - BRASILEIRÃO BETANO,Bahia,Internacional,RODADA 20,1,1,bet365,1.95,3.25,4.2,bet365,1.5,2.5,bet365,1.08,8.0,bet365,1.36,3.2,bet365,2.15,1.67,bet365,4.0,1.25,bet365,8.0,1.08,bet365,1.95,1.8
2024,Qglmlj5F,27/07/2024,21:30,BRASIL - BRASILEIRÃO BETANO,Botafogo,Cruzeiro,RODADA 20,0,3,bet365,2.15,3.2,3.6,bet365,1.44,2.63,bet365,1.08,8.0,bet365,1.4,3.0,bet365,2.2,1.65,bet365,4.0,1.25,bet365,8.0,1.08,bet365,1.95,1.8
2024,v1UNslrq,27/07/2024,21:30,BRASIL - BRASILEIRÃO BETANO,Fortaleza,São Paulo,RODADA 20,1,0,bet365,2.3,2.88,3.75,bet365,1.62,2.2,bet365,1.14,5.5,bet365,1.62,2.3,bet365,2.88,1.4,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.25,1.57
2024,QRsifzIE,27/08/2024,21:00,BRASIL - SÉRIE B,Brusque,Sport,RODADA 23,1,0,bet365,3.0,3.0,2.6,bet365,1.57,2.25,bet365,1.1,7.0,bet365,1.5,2.5,bet365,2.6,1.48,bet365,5.0,1.17,bet365,13.0,1.04,bet365,2.1,1.67
2024,KlsegfXK,27/08/2024,21:30,BRASIL - SÉRIE B,Coritiba,Avaí,RODADA 23,1,0,bet365,1.7,3.25,5.75,bet365,1.67,2.1,bet365,1.1,6.0,bet365,1.58,2.2,bet365,3.1,1.36,bet365,6.5,1.08,bet365,15.0,1.02,bet365,2.75,1.4
2023,bBdfigR4,27/09/2023,19:00,BRASIL - SÉRIE A,São Paulo,Coritiba,RODADA 22,2,1,bet365,1.45,4.5,6.5,bet365,1.4,2.75,bet365,1.05,11.0,bet365,1.3,3.5,bet365,1.93,1.93,bet365,3.4,1.33,bet365,6.0,1.13,bet365,2.1,1.67
2024,pYgdIeNm,27/09/2024,19:00,BRASIL - SÉRIE B,Ceará,Brusque,RODADA 29,1,0,bet365,1.38,4.5,8.5,bet365,1.44,2.63,bet365,1.07,8.5,bet365,1.36,3.0,bet365,2.1,1.7,bet365,3.75,1.25,bet365,8.0,1.08,bet365,2.63,1.44
